Phylum;Class;Order;Family;Genus;strain;name;short;conc;TPEN_conc;AUCsmean;sdAUC;maxODmean;sdmax;finalODmean;sdfinal
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;blank;blank;0,00460107645976519;0,001857449760821119;0,001057666278262303;0,001520119147882927;-0,004640983616839802;0,001751833913071947
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;0 µM;0;1,00000000000000000;0,000000000000000000;0,999129179760601671;0,004993436527622554;0,999129179760601671;0,004993436527622554
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;54 µM;54;1,00739024805320110;0,017788036285211618;1,004969629288503530;0,006362379357751248;1,004969629288503530;0,006362379357751248
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;60 µM;60;0,99933430343197882;0,014184973958240404;1,002089911158886570;0,008653152038245382;1,002089911158886570;0,008653152038245382
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;70 µM;70;1,00167165934251745;0,020852037822503409;0,991408788953423992;0,014381734639764186;0,991408788953423992;0,014381734639764186
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;80 µM;80;0,88871595672647163;0,184785029632397457;0,914809802175082787;0,137869658352171298;0,914809802175082787;0,137869658352171298
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;90 µM;90;0,04986987275976821;0,078257068246665548;0,047632995754584517;0,075041973708626086;0,046767177692604599;0,075551754819763867
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;100 µM;100;0,00994105825354368;0,003261526299051824;0,007556917661973363;0,002693250396181528;0,006616296349715490;0,003702965175208936
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;110 µM;110;0,00747627487968402;0,003717300518144704;0,006838865505417404;0,003653523644071143;0,005781650881767455;0,004253388305956760
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;120 µM;120;0,00872558121938545;0,004685248184732683;0,005676612323364848;0,003839749465711398;0,003423484239570566;0,007951937560133656
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;130 µM;130;0,00746342901509071;0,003620789253150193;0,005724146413489012;0,003158265080099405;0,005055630399822230;0,003294840112739665
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5002;Bacteroides uniformis;B. uniformis;140 µM;140;0,00543765816851703;0,003747643326800534;0,005231117120012341;0,003665224553405847;0,004758999845433994;0,004373401211822349
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;blank;blank;0,00473024563960766;0,002636110562862086;0,002077858677635918;0,003667007684194729;-0,001377096462252094;0,004954870877397485
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;0 µM;0;1,00000000000000000;0,000000000000000000;0,997647208040003175;0,006448860245980018;0,997647208040003175;0,006448860245980018
Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;5003;Bacteroides fragilis;B. fragilis;54 µM;54;0,98701468384489754;0,010008408042780486;0,991945415066477487;0,001877021081891000;0,991945415066477487;0,001877021081891000
