Time_h	5019_2xZn_TechRep1_BiolRep1_A1	5019_2xZn_TechRep2_BiolRep1_A2	5019_2xZn_TechRep3_BiolRep1_A3	5019_woZn_TechRep1_BiolRep1_A4	5019_woZn_TechRep2_BiolRep1_A5	5019_woZn_TechRep3_BiolRep1_A6	5026_2xZn_TechRep1_BiolRep1_B1	5026_2xZn_TechRep2_BiolRep1_B2	5026_2xZn_TechRep3_BiolRep1_B3	5026_woZn_TechRep1_BiolRep1_B4	5026_woZn_TechRep2_BiolRep1_B5	5026_woZn_TechRep3_BiolRep1_B6	HM04_2xZn_TechRep1_BiolRep1_C1	HM04_2xZn_TechRep2_BiolRep1_C2	HM04_2xZn_TechRep3_BiolRep1_C3	HM04_woZn_TechRep1_BiolRep1_C4	HM04_woZn_TechRep2_BiolRep1_C5	HM04_woZn_TechRep3_BiolRep1_C6
0	0.123	0.124	0.129	0.109	0.103	0.115	0.132	0.125	0.128	0.120	0.134	0.137	0.129	0.112	0.113	0.121	0.120	0.124
1	0.124	0.122	0.128	0.109	0.103	0.114	0.131	0.129	0.131	0.121	0.136	0.134	0.129	0.113	0.114	0.122	0.121	0.124
2	0.122	0.120	0.127	0.108	0.103	0.113	0.134	0.134	0.136	0.127	0.142	0.137	0.131	0.116	0.118	0.125	0.124	0.128
3	0.121	0.119	0.127	0.108	0.103	0.113	0.145	0.150	0.147	0.139	0.154	0.149	0.138	0.124	0.126	0.134	0.132	0.136
4	0.120	0.118	0.127	0.107	0.103	0.112	0.179	0.186	0.181	0.166	0.187	0.175	0.152	0.139	0.145	0.152	0.147	0.154
5	0.120	0.118	0.126	0.107	0.102	0.112	0.333	0.349	0.344	0.344	0.399	0.410	0.185	0.232	0.193	0.301	0.253	0.313
6	0.137	0.179	0.189	0.176	0.172	0.186	0.376	0.484	0.492	0.550	0.604	0.647	0.251	0.356	0.315	0.408	0.407	0.458
7	0.121	0.118	0.129	0.112	0.108	0.119	0.542	0.587	0.599	0.640	0.657	0.762	0.372	0.402	0.385	0.494	0.504	0.614
8	0.120	0.118	0.129	0.112	0.108	0.118	0.689	0.750	0.755	0.796	0.910	0.904	0.484	0.484	0.489	0.583	0.621	0.719
9	0.120	0.117	0.129	0.112	0.108	0.118	0.834	0.898	0.883	0.931	1.067	1.036	0.564	0.563	0.581	0.662	0.726	0.794
10	0.120	0.117	0.128	0.112	0.108	0.118	0.911	0.970	0.956	1.027	1.070	1.112	0.622	0.612	0.622	0.719	0.781	0.833
11	0.119	0.116	0.127	0.112	0.108	0.117	0.945	1.005	1.065	1.066	1.096	1.135	0.667	0.648	0.671	0.748	0.836	0.868
12	0.119	0.116	0.126	0.112	0.108	0.117	0.984	1.035	1.039	1.099	1.117	1.143	0.697	0.696	0.709	0.781	0.861	0.897
13	0.119	0.116	0.125	0.112	0.108	0.117	1.018	1.064	1.052	1.129	1.129	1.164	0.727	0.724	0.746	0.805	0.874	0.926
14	0.120	0.117	0.125	0.111	0.108	0.117	1.026	1.089	1.073	1.137	1.145	1.168	0.764	0.763	0.785	0.828	0.915	0.948
15	0.121	0.118	0.125	0.111	0.107	0.117	1.043	1.107	1.078	1.159	1.158	1.162	0.770	0.770	0.807	0.853	0.941	0.970
16	0.124	0.120	0.124	0.111	0.107	0.117	1.062	1.117	1.095	1.157	1.158	1.158	0.801	0.795	0.811	0.869	0.967	0.993
17	0.134	0.125	0.124	0.111	0.108	0.117	1.059	1.113	1.089	1.152	1.148	1.145	0.807	0.803	0.819	0.898	0.978	0.996
18	0.163	0.138	0.123	0.111	0.107	0.117	1.054	1.105	1.091	1.131	1.137	1.118	0.828	0.815	0.842	0.910	0.972	1.028
19	0.304	0.252	0.123	0.111	0.107	0.117	1.041	1.094	1.074	1.114	1.118	1.092	0.826	0.833	0.845	0.933	1.007	1.043
20	0.435	0.405	0.123	0.111	0.107	0.117	1.021	1.070	1.060	1.087	1.099	1.083	0.854	0.859	0.886	0.948	1.021	1.058
21	0.550	0.534	0.123	0.111	0.107	0.118	0.995	1.056	1.031	1.064	1.074	1.062	0.859	0.867	0.898	0.970	1.046	1.063
22	0.627	0.633	0.123	0.110	0.107	0.118	0.975	1.036	1.021	1.052	1.062	1.037	0.890	0.904	0.936	1.002	1.065	1.076
23	0.690	0.696	0.122	0.110	0.107	0.121	0.947	1.012	1.000	1.023	1.046	1.048	0.921	0.943	0.982	1.042	1.077	1.071
24	0.707	0.729	0.122	0.109	0.107	0.126	0.923	0.990	0.987	1.008	1.027	1.022	0.920	0.942	0.982	1.023	1.084	1.083
